obat_id,label,nilai,urutan
151,Product Description,"Glycore Cream 10% adalah krim topikal yang mengandung Glycolic Acid dengan konsentrasi 10%. Krim ini dirancang untuk meremajakan kulit, dengan berbagai manfaat untuk perawatan kulit, termasuk pengobatan jerawat dan komponen anti-penuaan. Glycolic acid, yang termasuk dalam kelompok AHA (Alpha Hydroxy Acid), bekerja dengan cara mengangkat sel kulit mati, memperbaiki tekstur kulit, serta merangsang produksi kolagen, menjadikannya efektif dalam perawatan kulit yang lebih cerah dan lebih muda.",1
151,Indikasi Umum,Membantu mengatasi hiperpigmentasi dan bintik hitam pada kulit.,2
151,Komposisi,Glycolic Acid 10%.,3
151,Dosis,Oleskan tipis - tipis pada kulit.,4
151,Aturan Pakai,Dapat digunakan pagi dan malam hari.,5
151,Perhatian,"- Hindari olesan krim Glycore 10% dekat mata, mulut, dan membran mukosa lainnya.\n- Hindari kontak langsung dengan sinar matahari setelah pemakaian, karena dapat meningkatkan risiko iritasi kulit.",6
151,Kontra Indikasi,Hipersensitivitas (alergi) terhadap asam glikolat.,7
151,Efek Samping,"Mungkin terjadi kemerahan, gatal, dan iritasi, terutama pada kulit yang sensitif. Jika efek samping ini berlanjut atau memburuk, hentikan penggunaan dan konsultasikan dengan dokter.",8
151,Kemasan,Pot @ 10 Gram,9
151,Manufaktur,"Genero Pharmaceuticals, Pt",10
151,No. Registrasi,BPOM RI: NA18190105346,11
152,Product Description,Niacef adalah obat untuk mengobati acne vulgaris terutama bentuk inflamasi dengan pulpula dan pustula.,1
152,Indikasi Umum,Untuk mengobati acne vulgaris terutama bentuk inflamasi dengan pulpula dan pustula.,2
152,Komposisi,Niacinamide 4%,3
152,Dosis,Oleskan gel 2 x sehari,4
152,Aturan Pakai,Gel dioleskan pada jerawat/lesi-lesi peradangan setelah wajah dibersihkan.,5
152,Perhatian,"Hanya untuk pemakaian luar, hindarkan kontak dengan mata dan selaput lendir lainnya. Jika terjadi iritasi, kekeringan atau kulit kemerah-merahan yang berlebihan pengobatan dihentikan. Hati-hati diberikan pada wanita hamil terutama semester pertama.",6
152,Kontra Indikasi,Tidak digunakan terhadap orang yang sensitif terhadap Nikotinamid atau bahan lainnya yang terkandung didalamnya.,7
152,Efek Samping,"Dapat terjadi rasa panas atau rasa membakar. Dengan menggunakan bahan pembawa yang cocok , efek tersebut dapat dihindarkan. Jarang menimbulkan iritasi dan eritema, yang sering terjadi ialah kulit kering.",8
152,Kemasan,Tube @ 15 Gram,9
152,Manufaktur,Surya Dermato Medica Laboratories,10
152,No. Registrasi,BPOM: NA18240103644,11
153,Product Description,"Bedak Harum Sari adalah deodoran dalam bentuk bedak (powder) yang telah teruji secara klinis untuk melindungi tubuh dari bau badan hingga 24 jam. Dilengkapi dengan aroma parfum yang memberikan kesegaran dan keharuman sepanjang hari, serta Anti Bacterial Agent yang menghambat pertumbuhan bakteri di area ketiak hingga 100%. Selain itu, produk ini mengandung Menthol yang memberikan sensasi sejuk.",1
153,Indikasi Umum,#NAME?,2
153,Komposisi,"Talc, Aluminium Sulfate, Kaolin, Alcohol, Magnesium Carbonat, Zinc Oxide, Perfume, Propylene Glycol, Triclosan",3
153,Aturan Pakai,Taburkan pada area ketiak merata dan secukupnya 2x sehari setelah mandi atau saat diperlukan,4
153,Perhatian,"Hasil dapat bervariasi antara individu tergantung berbagai faktor seperti usia, genetik, pola hidup, dan lain sebaginya",5
153,Kemasan,Box @ 10 Sachet,6
153,Manufaktur,Air Mancur,7
153,No. Registrasi,BPOM RI : NA18190905036,8
154,Product Description,"Gel dengan kombinasi 4% Niacinamide yang memiliki 3-in-1 action: membantu merawat jerawat, menyamarkan noda hitam, dan menjaga skin barrier. Kandungan Sodium Hyaluronate membantu melembabkan kulit sehingga kulit tampak lebih cerah dan\nsehat.",1
154,Indikasi Umum,"Membantu merawat jerawat, menyamarkan noda hitam, dan menjaga skin barrier.",2
154,Komposisi,"Niacinamide 4%, Tranex Peptide Complex, Sodium Hyaluronate",3
154,Dosis,"Gunakan 2x sehari, pagi dan malam hari.",4
154,Aturan Pakai,"Oleskan tipis pada kulit yang bersih, terutama pada area berjerawat dan/atau noda hitam.",5
154,Perhatian,Hanya untuk pemakaian luar.,6
154,Kontra Indikasi,Hipersensitif.,7
154,Kemasan,Tube @ 1 Tube,8
154,Manufaktur,"Derma Expro Asia, Pt",9
154,No. Registrasi,BPOM RI: NA18250110033,10
155,Product Description,Glycore 8% merupakan krim kulit untuk mengatasi hiperpigmentasi dan membantu menyamarkan noda hitam pada wajah.,1
155,Indikasi Umum,"Mengatasi hiperpigmentasi dan noda hitam pada kulit, menjadikan kulit tampak lebih halus.",2
155,Komposisi,Glycolic Acid 8%.,3
155,Dosis,"Oles tipis, ratakan lapisan krim untuk membersihkan siang dan atau malam.",4
155,Aturan Pakai,"Pemakaian dilakukan pagi hari dan malam hari. Bersihkan muka dengan sabun cuci muka, kemudian oleskan merata ke seluruh bagian muka.",5
155,Perhatian,"Hindari olesan dekat mata, mulut, dan membran mukosa lain, hindari kontak langsung dengan sinar matahari.",6
155,Kontra Indikasi,Hindari pemakaian Glycore Krim jika mempunyai reaksi hipersensitivitas (alergi) terhadap asam glikolat.,7
155,Efek Samping,"Kemerahan, gatal, dan iritasi, khususnya di kulit yang sensitif.",8
155,Kemasan,Pot @ 10 Gram,9
155,Manufaktur,Genero Pharmaceutical,10
155,No. Registrasi,BPOM: NA18190105345,11
156,Product Description,Bedak MBK Putih merupakan bedak yang dapat digunakan untuk mengurangi bau keringat yang tidak enak untuk pria dan wanita.,1
156,Indikasi Umum,Untuk mengurangi bau keringat yang tidak enak.,2
156,Komposisi,"Tawas, Talk, Parfume.",3
156,Dosis,"Ambillah secukupnya, lalu gosokkan pada ketiak.",4
156,Aturan Pakai,Taburkan setiap habis mandi.,5
156,Kemasan,Box @ 12 Sachet,6
156,Manufaktur,Bahagia Idkho Mandiri,7
156,No. Registrasi,BPOM: NA18170900021,8
157,Product Description,"Kapas Kecantikan Selection digunakan untuk perawatan dan membersihkan kotoran wajah, digunakan untuk meratakan air pembersih dan cleansing milk, dapat digunakan sebagai puff, dapat juga digunakan untuk kulit bayi.",1
157,Indikasi Umum,"Untuk perawatan dan membersihkan kotoran wajah, lembut, sejuk dan tidak melukai kulit wajah. Digunakan meratakan air pembersih dan cleansing milk serta nyaman dipakai. Dapat digunakan sebagai puff, bersih dan higienis. Dpat dipakai pembersih luka, karena bebas bahan berbahaya (mercury).",2
157,Dosis,Sesuai kebutuhan.,3
157,Kemasan,Pouch @ 35 Gram,4
157,Manufaktur,Taruna kusuma Purinusa,5
157,No. Registrasi,Kemenkes RI: PKD10101910786,6
158,Product Description,"Kapas Selection Pembersih Wajah adalah kapas yang umumnya digunakan untuk membersihkan riasan, mengeksfoliasi wajah, menghidrasi wajah atau untuk mengaplikasikan toner.",1
158,Indikasi Umum,"Untuk perawatan dan membersihkan kotoran wajah, digunakan untuk meratakan air pembersih dan cleansing milk, dapat digunakan sebagai puff, dapat juga digunakan untuk kulit bayi.",2
158,Dosis,Sesuai kebutuhan.,3
158,Aturan Pakai,"Kapas di jepit dengan jari manis, tengah dan telunjuk, Tekstur kapas pada posisi horisontal. Kapas sebaiknya tidak dibelah karena akan meninggalkan serat kapas pada wajah. Kapas sebaiknya di simpan di tempat yang kering dan tidak berdebu.",4
158,Kemasan,Pack @ 50 Gram,5
158,Manufaktur,Taruna kusuma Purinusa,6
158,No. Registrasi,Kemenkes RI: PKD10101800669,7
159,Product Description,"Bedak Marcks Creme merupakan bedak tabur yang dapat digunakan untuk menyempurnakan make up wajah, bedak ini juga memiliki oil control yang baik sehingga ideal untuk setting powder.",1
159,Indikasi Umum,Mengontrol minyak berlebih di wajah. Mencegah timbulnya jerawat. Menyempurnakan tampilan makeup.,2
159,Komposisi,"Zinc stearate, Zinc oxide, salycil acid, titanium dioxide, fragrance, iron oxide.",3
159,Dosis,Digunakan sesuai kebutuhan.,4
159,Aturan Pakai,"Aplikasikan ke seluruh wajah, lalu ratakan.",5
159,Perhatian,Hentikan penggunaan jika terjadi reaksi alergi.,6
159,Kontra Indikasi,Penderita hipersensitif terhadap salah satu kandungan bedak tabur ini.,7
159,Kemasan,Pack @ 40 Gram,8
159,Manufaktur,Kimia Farma,9
159,No. Registrasi,BPOM RI : NA18130400263,10
160,Product Description,LACTACYD BABY LIQUID 60 ml merupakan sabun cair bayi yang mengandung Lactoserum dan Lactic acis dari ekstrak susu. Sabun cair ini digunakan untuk membersihkan dan merawat bayi serta menjaganya agar tetap bersih dan sehat.,1
160,Indikasi Umum,Merawat kulit yang terkena ruam popok.,2
160,Komposisi,"Aquademineralisata, ammonium triethanolamine sulfates, ethyleneglycol stearate, diethyleneglycol stearate, hydrogenated peanut oil, sodium hydroxide, lactoserum, ethylhydroxyethylcellulose, natural orange flavour, sodium methylhydroxybenzoate, lactic acid.",3
160,Dosis,Untuk memandikan bayi: encerkan 3-4 sendok penuh dalam wadah mandi.,4
160,Kemasan,"Dus, Botol @ 60 ml",5
160,Manufaktur,Aventis Pharma,6
160,No. Registrasi,BPOM: NA54161600099,7
161,Product Description,"Lactacyd All Day Care merupakan sabun kewanitaan yang mengandung Lactoserum dan Lactic acid dari ekstrak susu alami yang memiliki pH yang sesuai dengan pH alami area kewanitaan, sehingga menjaga pertumbuhan bakteri baik. Direkomendasikan dan aman digunakan setiap hari.",1
161,Indikasi Umum,Membersihkan area kewanitaan dengan lembut Melindungi area kewanitaan dari gatal dan iritasi.,2
161,Komposisi,"Purified Water, Sodium Laureth Sulfate, Whey Filtrate (Lactoserum), PEG-120 Methyl Glucose Dioleate/Tocopherol, Sodium Chloride, Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Sodium Benzoate, Phenoxyethanol, Perfume, Styrene-Acrylates Copolymer/Coco-Glucoside/ Benzoic Acid, Lactic Acid, Tetrasodium EDTA, Ethylhexylglycerin, Citric Acid.",3
161,Dosis,"Dapat digunakan beberapa kali sehari, terutama pada saat masa siklus menstruasi, setiap hari saat mandi pagi dan sore.",4
161,Aturan Pakai,"Tuangkan secukupnya ke telapak tangan dan bersihkan area kewanitaan Bilas hingga bersih Untuk hasil yang optimal, gunakan 2x sehari.",5
161,Perhatian,Kocok dahulu sebelum digunakan. Tidak boleh dipakai terlalu dalam mengenai organ kewanitaan Anda. jauhkan dari jangkauan anak-anak.,6
161,Kontra Indikasi,Hipersensitif.,7
161,Efek Samping,Iritasi Ringan.,8
161,Kemasan,Botol @ 60 ml,9
161,Manufaktur,Aventis Pharma,10
161,No. Registrasi,BPOM: NA54201600004,11
162,Product Description,Bedak Marcks (Pink) merupakan bedak tabur yang dapat mengontrol minyak di wajah sehingga hasil riasan wajah menjadi lebih bagus.,1
162,Indikasi Umum,Memberikan kesan matte atau tidak mengkilap pada wajah. Mengunci riasan wajah agar tampak sempurna dan tahan lama. Mengontrol minyak berlebih di kulit wajah.,2
162,Komposisi,"Bedak talkum, pati jagung, seng oksida, seng stearat, asam salisilat, dpengharum.",3
162,Dosis,Digunakan sesuai kebutuhan.,4
162,Aturan Pakai,"Buka tutup pot bedak Marcks. Ambil bedak tabur secukupnya ke tangan atau sponge bedak. Aplikasikan ke seluruh wajah, lalu ratakan.",5
162,Perhatian,Hentikan penggunaan jika terjadi reaksi alergi.,6
162,Kontra Indikasi,Penderita hipersensitif terhadap salah satu kandungan bedak tabur ini.,7
162,Kemasan,Pot @ 50 Gram,8
162,Manufaktur,Kimia Farma,9
162,No. Registrasi,BPOM: NA18130400261,10
163,Product Description,Bedak MBK Silver merupakan bedak yang dapat digunakan untuk mengurangi bau keringat yang tidak enak untuk pria dan wanita.,1
163,Indikasi Umum,Untuk mengurangi bau keringat yang tidak enak.,2
163,Komposisi,"Tawas, Talk, Parfume.",3
163,Dosis,"Ambillah secukupnya, lalu gosokkan pada ketiak.",4
163,Aturan Pakai,Taburkan setiap habis mandi.,5
163,Kemasan,Box @ 12 Sachet,6
163,Manufaktur,Bahagia Idkho Mandiri,7
163,No. Registrasi,BPOM: NA18170900021,8
164,Product Description,"Betadine Feminine Hygiene mengandung zat aktif Povidone Iodine, digunakan untuk mengatasi masalah kewanitaan seperti gatal, bau tidak sedap dan keputihan.",1
164,Indikasi Umum,"Membantu menjaga kebersihan kewanitaan, mencegah dan megobati bau, gatal yang berhubungan dengan kewanitaan yang disebabkan jamur dan kuman.",2
164,Komposisi,Povidone-iodine 10%.,3
164,Dosis,Untuk pengobatan gunakan 2 x sehari selama 5 hari berturut-turut.,4
164,Aturan Pakai,"Tuang Betadine Feminine Hygiene ke tutup botol. Larutkan 1 tutup botol (8 ml) dengan 1 Liter Air. Basuhkan pada area kewanitaan. Diamkan selama 1 menit, bilas dengan air bersih.",5
164,Perhatian,"Tidak dianjurkan penggunaan pada wanita yang menginginkan hamil, wanita sedang hamil dan menyusui kecuali atas petunjuk dokter. Jangan diberikan pada penderita yang hipersensitif terhadap kandungan Iodine.",6
164,Kontra Indikasi,"Hipersensitif terhadap iodine, hamil dan laktasi.",7
164,Efek Samping,Iritasi lokal dan sensitif (hentikan pemakaian).,8
164,Kemasan,Botol @ 60 ml,9
164,Manufaktur,Mahakam Beta Farma,10
164,No. Registrasi,BPOM: DTL1613711841B1,11
165,Product Description,#NAME?,1
165,Indikasi Umum,Menghindari gigitan nyamuk,2
165,Dosis,Sesuai kebutuhan,3
165,Aturan Pakai,"Oleskan pada daerah tubuh yang ingin dilindungin oleh gigitan nyamuk. Sebisa mungkin hindari bagian tubuh yang banyak menghasilkan keringat. Untuk penggunaan pada wajah, oleskan lotion ditangan dan ditepuk-tepuk pada bagian wajah yang ingin dilindungi\nPerhatian khusus\nApabila terkena mata atau muncul reaksi sensitif pada kulit, bilas dengan air. Simpan di tempat aman dan jauh dari jangkauan anak-anak. Tidak di rekomendasikan untuk anak dibawah enam tahun",4
165,Kontra Indikasi,Hipersensitif,5
165,Efek Samping,Reaksi alergi\nNomor Registrasi\n-,6
166,Product Description,"Ovale Facial Lotion Whitening Bengkoang mengandung Ekstrak Lidah Buaya, Ekstrak Bengkuang, dan Vitamin A & E yang berfungsi membantu merawat kelembutan dan mencerahkan kulit wajah.",1
166,Indikasi Umum,Membantu mencerahkan kulit wajah.,2
166,Komposisi,"Aqua, Alcohol Denat, Propylene Glycol, Pachyrrhizus Erosus Root Extract, Phenoxyethanol, Methylparaben, Ethylparaben, Benzophenone-4, PEG-40 Hydrogenated Castor Oil, Triisopropanolamine, Sodium Methylparaben, Polysorbate 20, PEG-20 Glyceryl Laurate, Tocopherol, Linoleic Acid, Retinyl Palmitate, Caprylic/Capric Triglyceride, Menthol, Fragrance, Aloe Barbadensis Leaf Extract.",3
166,Dosis,Gunakan sesuai kebutuhan.,4
166,Aturan Pakai,"Tuangkan ke kapas secukupnya, usapkan lembut ke wajah dan leher, tidak perlu dibilas.",5
166,Kemasan,Tube @ 60 ml,6
166,Manufaktur,PT. Kino Indonesia Tbk,7
167,Product Description,Natur E White Brightening Hand & Body Serum membantu menjaga kecantikan kulit agar tetap sehat dan cerah.,1
167,Indikasi Umum,Membantu membuat kulit tampak lebih cerah dan melembapkan kulit hingga 10 jam.,2
167,Komposisi,"Glutathione, vitamin E, olive fruit extract.",3
167,Dosis,Gunakan sesuai kebutuhan.,4
167,Aturan Pakai,"Oleskan ke tangan, kaki, atau bagian tubuh lain yang membutuhkan kelembaban dan perlindungan dari sinar matahari.",5
167,Kemasan,Tube @ 180 ml,6
167,Manufaktur,Darya Varia Laboratories,7
167,No. Registrasi,BPOM RI : NA18190105395,8
168,Product Description,"Betadine Obat Kumur Antiseptik mengandung zat aktif Povidone iodine, obat kumur ini digunakan untuk mengatasi masalah mulut seperti sakit tenggorokan, gusi bengkak, sariawan, bau mulut dan napas tidak segar.",1
168,Indikasi Umum,"Obat kumur antiseptik untuk rongga mulut seperti gusi bengkak, sakit tenggorokan, sariawan, bau mulut dan napas tak segar.",2
168,Komposisi,Povidone Iodine 1%.,3
168,Dosis,"Kumur selama 30 detik, lakukan 3-5 kali per hari, atau sesuai kebutuhan.",4
168,Aturan Pakai,Tuangkan Betadine obat kumur 15 ml pada tutup botol dan kumurlah selama 3060 detik.,5
168,Perhatian,Awas obat keras! Hanya untuk dikumur jangan ditelan.,6
168,Kontra Indikasi,"Hipersensitif terhadap Iodium, penderita penyakit thyroid, wanita hamil dan menyusui.",7
168,Efek Samping,"Iritasi idiosyncratic mucosal dan reaksi hipersensitif. Absorbsi berlebihan dapat menyebabkan efek samping sistemik seperti metabolik asidosis, gangguan fungsi renal dan hypernatremia.",8
168,Kemasan,Botol @ 190 ml,9
168,Manufaktur,Mahakam Beta Farma,10
168,No. Registrasi,BPOM: DTL7413700640B1,11
169,Product Description,LACTACYD BABY LIQUID 150 ml merupakan sabun cair bayi yang mengandung Lactoserum dan Lactic acis dari ekstrak susu. Sabun cair ini digunakan untuk membersihkan dan merawat bayi serta menjaganya agar tetap bersih dan sehat.,1
169,Indikasi Umum,Merawat kulit yang terkena ruam popok.,2
169,Komposisi,"Aquademineralisata, ammonium triethanolamine sulfates, ethyleneglycol stearate, diethyleneglycol stearate, hydrogenated peanut oil, sodium hydroxide, lactoserum, ethylhydroxyethylcellulose, natural orange flavour, sodium methylhydroxybenzoate, lactic acid.",3
169,Dosis,Untuk memandikan bayi: encerkan 3-4 sendok penuh dalam wadah mandi.,4
169,Kemasan,"Dus, Botol @ 150 ml",5
169,Manufaktur,Aventis Pharma,6
169,No. Registrasi,BPOM: NA54161600098,7
170,Product Description,Cotton Buds Zak Extra Fine Huki CI 0081 digunakan untuk membersihkan kotoran pada lubang telinga atau lubang hidung balita/bayi.,1
170,Indikasi Umum,Alat untuk membersihkan kotoran telinga,2
170,Dosis,Gunakan sesuai kebutuhan,3
170,Kemasan,Pack @ 100 Pcs,4
170,Manufaktur,Ikapharmindo,5
170,No. Registrasi,Kemenkes RI : PKD 10105320082,6
171,Product Description,Asepso Plus adalah sabun lembut yang dapat membantu menghilangkan kotoran dan membantu memeberikan perlindungan terhadap kuman dengan mudah dan lembut.,1
171,Indikasi Umum,"Mengurangi biang keringat, infeksi kulit, maupun penyebaran kuman-kuman berbahaya.",2
171,Komposisi,"Sodium palmate, sodium palm kernelate, aqua, peg-20, glycerin, parfum, palm oil ( elaeis guineensis), sodium chloride, chloroxylenol, thymol, Cl 21108, Cl l74260, Cl 77266, etindronic acid, tetrasodium EDTA.",3
171,Dosis,Sesuai kebutuhan.,4
171,Aturan Pakai,Gunakan seperti pada pemakaian sabun mandi biasa.,5
171,Efek Samping,Hentikan penggunaan sabun jika Anda mengalami iritasi pada kulit atau reaksi alergi setelah menggunakan sabun ini.,6
171,Kemasan,Bar @ 80 Gram,7
171,Manufaktur,PT Pan Pacific Development,8
171,No. Registrasi,BPOM: NA18140500276,9
172,Product Description,"Cetaphil Gentle Skin Cleanser merupakan pembersih wajah yang diformulasikan sebagai pengganti sabun untuk kulit kering, normal, kombinasi dan berjerawat. Produk ini memiliki kandungan propylene glycol yang bertujuan untuk membantu menjaga kelembapan kulitmu.",1
172,Indikasi Umum,"Mengatasi kulit berminyak tanpa menyebabkan kulit menjadi kering, membersihkan kotoran dan sisa make up dari wajah , melembabkan kulit wajah.",2
172,Komposisi,"Aqua, Cetyl Alcohol, Propylene Glycol, Butyl 4-Hydroxybenzoate, Methyl 4-Hydroxybenzoate, Propyl 4-Hydroxybenzoate, Sodium Lauryl Sulfate, Stearyl Alcohol.",3
172,Dosis,Sesuai kebutuhan.,4
172,Aturan Pakai,Petunjuk penggunaan tanpa air: Usapkan secukupnya dan gosok ke kulit dengan lembut. Bersihkan dengan kain lembut dan kulit akan terasa halus. Petunjuk penggunaan dengan air: Usapkan ke kulit lalu gosok dengan lembut. Bilas dengan air.,5
172,Kemasan,Botol @ 118 ml,6
172,Manufaktur,Galderma,7
172,No. Registrasi,BPOM: NE11160700635,8
173,Product Description,Yoona Day Pads adalah pembalut organik untuk mencegah dan menggurangi kondisi iritasi pada vagina aman dan tidak menyebabkan perubahan fisiologis pada vagina dan jaringan di sekitarnya mengurangi reaksi gatal dan terbakar pada vagina,1
173,Dosis,Sesuai Kebutuhan,2
173,Aturan Pakai,Seperti pembalut biasa,3
173,Perhatian,Baca petunjuk penggunaan pada kemasan,4
173,Efek Samping,Reaksi alergi,5
173,Kemasan,Box @ 10 Pads,6
173,Manufaktur,Yoona,7
173,No. Registrasi,KEMENKES RI : AKL11104220023,8
174,Product Description,Vio Acne Shield Patch Tea Tree Oil merupakan sticker karakter untuk mengempeskan jerawat,1
174,Indikasi Umum,Membantu mengempeskan jerawat,2
174,Komposisi,"Tea Tree Oil, Bha, Salicylic Acid",3
174,Dosis,Gunakan sesuai kebutuhan.,4
