obat_id,label,nilai,urutan
174,Aturan Pakai,Tempelkan Di Tempatkan Yang Berjerawat Semalaman,5
174,Kemasan,1 Pack,6
174,No. Registrasi,BPOM RI: NA18240103074,7
175,Product Description,"Charm Pembalut Safe Night\nNyaman, Nyenyak Sampai Pagi! Charm Safe Night panjang hingga bagian belakang. Menampung cairan hingga lapisan bawah selama 12 jam. 2x cegah bocor semalaman!\n- Pori Serap Aktif\nMenyerap & menampung cairan hingga lapisan bawah selama 12 Jam\nsehingga mencegah permukaan terasa basah\n- Liquid Seal Body Fit\nGaris penahan cairan yang sesuai lekuk tubuh. Meski berguling, pembalut tetap pas di badan\n- Permukaan Lembut di Kulit",1
175,Indikasi Umum,#NAME?,2
175,Dosis,Sesuai kebutuhan,3
175,Aturan Pakai,Seperti pembalut biasa,4
175,Perhatian,Hanya untuk pemakaian luar. Sebaiknya ganti pembalut secara teratur. Hentikan pemakaian jika terjadi reaksi alergi.,5
175,Efek Samping,Reaksi alergi,6
175,Kemasan,Pack @ 9 Pads,7
175,Manufaktur,"Uni-Charm Indonesia, Pt",8
175,No. Registrasi,KEMENKES RI: AKD 11104021914,9
176,Product Description,Bedak tabur yang cocok untuk semua jenis kulit. Mengandung formula untuk menyempurnakan penampilan kulit wajah menjadi tampak halus dan cantik alami Pilihlah bedak Marcks? Active yang sesuai dengan warna kulit & wujudkan impian anda memiliki kulit wajah yang sehat indah berseri dan pancarkan pesona kecantikan alami sepanjang hari.,1
176,Indikasi Umum,"Melindungi kulit dari pengaruh buruk sinar matahari dan radikal bebas, Menjaga kelembaban alami kulit, Memberikan aroma yang menyegarkan (Refreshing), serta memberi covering yang sempurna dan tahan lama.",2
176,Dosis,Digunakan sesuai kebutuhan.,3
176,Aturan Pakai,Aplikasikan langsung ke seluruh bagian wajah secara merata,4
176,Kemasan,Pack @ 20 Gram,5
176,Manufaktur,Kimia Farma,6
176,No. Registrasi,BPOM RI : NA18140400424,7
177,Product Description,"Glyco Moist 10% adalah krim topikal dengan asam glikolat 10% dan air mawar, berfungsi untuk mengeksfoliasi kulit, membantu menyamarkan noda hitam, serta melembapkan wajah.",1
177,Indikasi Umum,Menyamarkan noda hitam dan flek (hiperpigmentasi). Menghaluskan tekstur kulit. Melembapkan dan memberikan efek glowing?,2
177,Komposisi,"Aqua, Glycolic Acid 10?%, Rose Water, emolien & emulgator lainnya",3
177,Dosis,Gunakan pagi dan malam hari,4
177,Aturan Pakai,Oles tipis merata pada wajah yang telah dibersihkan,5
177,Perhatian,"Hindari kontak dengan mata, bibir, dan area mukosa lain?",6
177,Kontra Indikasi,Hipersensitivitas terhadap asam glikolat atau komponen lainnya,7
177,Kemasan,Jar @ 12 Gram,8
177,Manufaktur,"Proline Innovation Indonesia, Pt",9
177,No. Registrasi,BPOM RI : NA18230117292,10
178,Product Description,My Baby Powder Telon Plus  merupakan bedak bayi dengan kombinasi aroma telon dan citronella yang lembut telah teruji klinis dengan formula yang lembut di kulit bayi,1
178,Indikasi Umum,Membantu melembutkan dan menenangkan kulit si kecil. Hadir dengan aroma telon citronella yang mampu menghangatkan kulit anak anda setelah selesai mandi.,2
178,Dosis,Gunakan sesuai kebutuhan.,3
178,Aturan Pakai,Taburkan bedak secukupnya pada telapak tangan. Usapkan pada seluruh tubuh bayi dengan lembut.,4
178,Kemasan,1 Botol @ 125 Gram,5
178,Manufaktur,Tempo Natural Products,6
179,Product Description,"Kanna Cream merupakan krim lembut yang digunakan untuk melembabkan tumit yang kering, serta dapat menghaluskan kembali tumit yang kasar dan pecah-pecah.",1
179,Indikasi Umum,"Untuk kulit kering, kasar dan pecah-pecah.",2
179,Komposisi,"Lesitin, petrolatum, cetearil alkohol, ceteareth-33, PEG 100, stearate gliseril stearat, natrium bikarbonat, propylene glycol, metil paraben, propyl paraben, air, parfum.",3
179,Dosis,"Sesuai kebutuhan, gunakan sesering mungkin agar kelembutan tetap terjaga.",4
179,Aturan Pakai,"Bersihkan dan keringkan kulit tumit, oleskan kanna secara merata dan diamkan selama beberapa menit.",5
179,Kemasan,Tube @ 30 Gram,6
179,Manufaktur,Gloria Origita,7
179,No. Registrasi,BPOM: NA18120101396,8
180,Product Description,"Betadine Sabun Antiseptik merupakan sabun cair antiseptik dengan kandungan Povidon iodine 7.5%. Produk ini digunakan untuk mengatasi masalah pada kulit seperti jerawat dan gatal-gatal, disinfeksi tangan sebelum operasi, dan menjaga kesehatan kulit.",1
180,Indikasi Umum,Membersihkan kulit & membunuh kuman penyebab penyakit.,2
180,Komposisi,Povidone Iodine 7.5%.,3
180,Dosis,Sesuai kebutuhan.,4
180,Aturan Pakai,Gunakan Betadine sabun cair antiseptik seperti anda menggunakan sabun mandi biasa.,5
180,Perhatian,Hanya untuk pemakaian luar.,6
180,Efek Samping,Reaksi hipersensitif terhadap iodium.,7
180,Kemasan,Botol @ 100 ml,8
180,Manufaktur,Mahakam Beta Farma,9
180,No. Registrasi,Kemenkes RI: PKD20501710172,10
181,Product Description,"Noroid Lotion merupakan pelembab yang digunakan pada seluruh tubuh termasuk wajah yang berfungsi untuk memperbaiki fungsi barier kulit pada dermatitis atopik (ruam, merah, bengkak, dan gatal), kulit kering, dan sensitif. Krim ini dapat digunakan setiap hari sesuai kebutuhan setelah membersihkan wajah dan tubuh.",1
181,Indikasi Umum,Pelembab untuk kulit kering. Membantu melembutkan dan menjaga elastisitas kulit.,2
181,Dosis,Gunakan beberapa kali per hari pada bagian yang membutuhkan.,3
181,Aturan Pakai,Dapat digunakan di seluruh tubuh termasuk wajah. Gunakan setelah mandi atau setelah wajah dibersihkan dan setelah perawatan UV.,4
181,Perhatian,"Hentikan penggunaan jika terjadi iritasi, bintik-bintik, merah, bengkak, gatal atau bengkak selama penggunaan.",5
181,Efek Samping,Reaksi alergi dan reaksi hipersensitivitas.,6
181,Kemasan,Tube @ 200 ml,7
181,Manufaktur,Soho Industri Pharmasi,8
181,No. Registrasi,BPOM: NA26180110523,9
182,Product Description,Instance Hand Sanitizer Spray merupakan spray antiseptik yang mengandung Alkohol 75% yang diketahui efektif membunuh kuman dalam 30 detik setelah diaplikasikan. Produk ini dapat digunakan untuk membersihkan tangan dari kuman tanpa bilas.,1
182,Indikasi Umum,Antiseptik untuk membunuh kuman tanpa bilas.,2
182,Komposisi,Alkohol 75%.,3
182,Dosis,Sesuai kebutuhan.,4
182,Aturan Pakai,"Semprotkan hand sanitizer pada telapak tangan, ratakan sampai ke sela jari, punggung tangan, telapak tangan, dan ujung jari, gosok hingga kering. Gunakan sebelum: menyiapkan atau memakan makanan, setelah menggunakan kamar kecil, setelah batuk atau bersin, setelah menyentuh permukaan rumah sakit seperti rel tempat tidur, meja samping tempat tidur, gagang pintu, remote control, atau telepon, serta setelah menyentuh hewan peliharaan.",5
182,Kemasan,Botol @ 100 ml,6
182,Manufaktur,Kino Indonesia,7
183,Product Description,"Asepso (Sulphur) merupakan sabun antiseptik dengan kandungan Sulfur & Salicylic Acid yang membantu membuka pori-pori kulit, membantu menghilangkan minyak berlebih dan membantu membersihkan kulit.",1
183,Indikasi Umum,"Mengurangi biang keringat, infeksi kulit, maupun penyebaran kuman-kuman berbahaya.",2
183,Dosis,Sesuai kebutuhan.,3
183,Aturan Pakai,Gunakan seperti pada pemakaian sabun mandi biasa.,4
183,Efek Samping,Hentikan penggunaan sabun jika Anda mengalami iritasi pada kulit atau reaksi alergi setelah menggunakan sabun ini.,5
183,Kemasan,Bar @ 80 Gram,6
183,Manufaktur,PT Pan Pacific Development,7
183,No. Registrasi,BPOM: NA18140500281,8
184,Product Description,Selsun Yellow Double Impact merupakan sampo yang mengandung Selenium Sulfide dan Zinc PtO. Kandungan selenium sulfide telah terbukti lebih efektif jika dibandingkan dengan anti ketombe lainnya seperti Zinc dan Coal Tar sebagai bahan aktif tunggal dalam menghilangkan dan mencegah ketombe.,1
184,Indikasi Umum,Menghilangkan ketombe tingkat sedang sampai dengan berat dan sekaligus menghilangkan gatal-gatal karena ketombe dikulit kepala.,2
184,Komposisi,Selenium Sulfide dan Zinc PtO.,3
184,Dosis,"Keramaskan Selsun pada rambut dan kulit kepala dengan merata, biarkan 2-3 menit untuk mendapatkan hasil maksimal. Gunakan 2 kali seminggu secara teratur sampai ketombe hilang.",4
184,Aturan Pakai,"Untuk keramas, dibiarkan 2-3 menit saat pemakaian untuk mendapatkan hasil yang maksimal.",5
184,Perhatian,Kocok dahulu sebelum digunakan. Hindari kontak dengan mata dan kulit yang luka.,6
184,Kemasan,Tube @ 50 ml,7
184,Manufaktur,Rohto Laboratories Indonesia,8
184,No. Registrasi,BPOM: NA18211001813,9
185,Product Description,"Selection Kapas Kecantikan merupakan kapas untuk perawatan dan membersihkan kotoran wajah, dapat digunakan untuk meratakan air pembersih dan cleansing milk",1
185,Indikasi Umum,"Membersihkan riasan, mengeksfoliasi wajah, menghidrasi wajah atau untuk mengaplikasikan toner.",2
185,Komposisi,Cotton 100% tanpa bahan pemutih,3
185,Dosis,Gunakan sesuai Kebutuhan,4
185,Aturan Pakai,"Kapas di jepit dengan jari manis, tengah dan telunjuk, Tekstur kapas pada posisi horisontal. Kapas sebaiknya TIDAK dibelah karena akan meninggalkan serat kapas pada wajah. Kapas sebaiknya di simpan di tempat yang kering dan tidak berdebu.",5
185,Kemasan,Pcs @ 75 Gram,6
185,Manufaktur,"Tarunakusuma Purinusa, Pt",7
185,No. Registrasi,KEMENKES RI: PKD 10101910786,8
186,Product Description,Yoona Night Pads pembalut organik untuk mencegah dan menggurangi kondisi iritasi pada vagina Aman dan tidak menyebabkan perubahan fisiologis pada vagina dan jaringan di sekitarnya mengurangi reaksi gatal dan terbakar pada vagina,1
186,Dosis,Sesuai Kebutuhan,2
186,Aturan Pakai,Seperti pembalut biasa,3
186,Perhatian,Baca petunjuk penggunaan pada kemasan,4
186,Efek Samping,Reaksi alergi,5
186,Kemasan,Box @ 8 Pads,6
186,Manufaktur,Yoona,7
186,No. Registrasi,KEMENKES RI : AKL11104220024,8
187,Product Description,Marina hand & body lotion natural nutri fresh double nutrient action & more than just vitamin E.,1
187,Aturan Pakai,Usapkan ke seluruh tubuh secara teratur setelah mandi dan setiap saat diperlukan.,2
187,Kemasan,Botol @ 190 ml,3
188,Product Description,Cotton Buds Zak Huki (CI 0010) berfungsi untuk membersihkan bagian telinga dan rongga telinga yang di desain dengan bentuk kapas yang kecil.,1
188,Aturan Pakai,Dimasukan ke dalam rongga telinga dengan perlahan-lahan tidak terlalu dalam sembari diputar-putar.,2
188,Kemasan,Pack @ 100 Pcs,3
188,Manufaktur,PT. Ikapharmindo Putramas,4
189,Product Description,Antis Jasmine Tea Spray merupakan cairan antiseptik pembersih tangan yang mengandung alkohol 70% dengan aroma jasmine tea dan tidak lengket di kulit. Pembersih tangan ini digunakan agar terhindar dari kuman penyebab penyakit.,1
189,Indikasi Umum,Digunakan agar terhindar dari kuman penyebab penyakit.,2
189,Dosis,Gunakan sesuai kebutuhan.,3
189,Aturan Pakai,"Tuangkan 0,8ml Antis pada tangan atau bagian tubuh lainnya, lalu usap hingga merata dan kering.",4
189,Kemasan,Botol @ 55 ml,5
189,Manufaktur,Enesis Group,6
190,Product Description,Nivea Lip Care Lip Balm Strawberry Shine memberikan perlindungan tahan lama terhadap bibir kering. Formula pelembab dengan aroma buah strawberry serta warna merah dan gloss berkilau untuk perawatan bibirmu. Kandungan minyak jojoba dan avocado membuat bibir tampak cantik dan sehat seharian,1
190,Indikasi Umum,Melembapkan bibir dan memberi kesan glossy dengan aroma strawberry,2
190,Komposisi,"Minyak alpukat, Minyak jojoba & Hydra IQ",3
190,Aturan Pakai,Oleskan secara rata pada bibir. Gunakan kembali setelah 6-8 jam.,4
190,Kemasan,1 Pcs,5
190,Manufaktur,"BEIERSDORF INDONESIA, PT",6
190,No. Registrasi,BPOM RI : NA49211300011,7
191,Product Description,"Betadine Obat Kumur Antiseptik mengandung zat aktif Povidone iodine, obat kumur ini digunakan untuk mengatasi masalah mulut seperti sakit tenggorokan, gusi bengkak, sariawan, bau mulut dan napas tidak segar.",1
191,Indikasi Umum,"Obat kumur antiseptik untuk rongga mulut seperti gigi berlubang, gusi bengkak, sakit tenggorokan, sariawan, bau mulut dan nafas tak segar.",2
191,Komposisi,Povidone Iodine 1 %.,3
191,Dosis,"1 Cup (15 ml) untuk berkumur selama 30 detik. Dilakukan 3-5 kali per hari, atau sesuai kebutuhan.",4
191,Aturan Pakai,Tuangkan Betadine obat kumur 15 ml pada tutup botol dan kumurlah selama 30-60 detik.,5
191,Perhatian,Awas obat keras! Hanya untuk dikumur jangan ditelan.,6
191,Kontra Indikasi,"Hipersensitif terhadap Iodium, penderita penyakit thyroid, wanita hamil dan menyusui.",7
191,Efek Samping,Iritasi jika absorbsi berlebihan bisa mengganggu sistemik.,8
191,Kemasan,Botol @ 100 ml,9
191,Manufaktur,Mahakam Beta Farma,10
191,No. Registrasi,BPOM: DTL7413700640B1,11
192,Product Description,Yoona Night Pads pembalut organik untuk mencegah dan menggurangi kondisi iritasi pada vagina Aman dan tidak menyebabkan perubahan fisiologis pada vagina dan jaringan di sekitarnya mengurangi reaksi gatal dan terbakar pada vagina,1
192,Dosis,Sesuai Kebutuhan,2
192,Aturan Pakai,Seperti pembalut biasa,3
192,Perhatian,Baca petunjuk penggunaan pada kemasan,4
192,Efek Samping,Reaksi alergi,5
192,Kemasan,Box @ 6 Pads,6
192,Manufaktur,Yoona,7
192,No. Registrasi,KEMENKES RI : AKL11104220197,8
193,Product Description,"Sensodyne Repair & Protect Extra Fresh adalah pasta gigi yang hadir dengan teknologi Novamin, yang dapat membentuk lapisan mineral gigi hingga 1.5x lebih kuat dari lapisan alami dentin untuk melindungi gigi sensitif dengan memberikan kesegaran mulut yang lebih. Meredakan rasa ngilu akibat gigi sensitif. Memberikan perlindungan terhadap sensitivitas yang tahan lama. Memberikan perlindungan pada gigi berlubang. Meningkatkan kesegaran yang lebih lama.",1
193,Indikasi Umum,Membentuk lapisan mineral gigi hingga 1.5x lebih kuat dari lapisan alami dentin untuk melindungi gigi sensitif.,2
193,Komposisi,Glycerin PEF8 Hydrated Silica Calcium Sodium Phophosilicate Novamin Cocamydopropyl Betaine Sodium Methyl Cocoyl Taurate Titanium Dioxide Flavour Carbomer Sodium Fluoride Sodium Saccharin Limonene Contains Sodium Fluoride.,3
193,Dosis,Digunakan sesuai kebutuhan.,4
193,Aturan Pakai,"Gosok gigi 2 kali sehari, pagi dan sebelum tidur.",5
193,Kemasan,Tube @ 100 Gram,6
193,Manufaktur,GlaxoSmithKline Indonesia,7
193,No. Registrasi,BPOM: NA11181400047,8
194,Product Description,Cotton Ball Medisoft (Biru) merupakan kapas yang lembut dan aman yang digunakan untuk perawatan pada bayi dan luka. Untuk membersihkan bagian tubuh bayi.,1
194,Indikasi Umum,Untuk membersihkan bagian tubuh bayi. Karena lebih lembut dan higienis sehingga tidak menimbulkan iritasi pada kulit bayi.,2
194,Komposisi,100% cotton.,3
194,Dosis,Sesuai kebutuhan.,4
194,Aturan Pakai,Terapkan pada daerah yang ingin dibersihkan.,5
194,Perhatian,Simpan di tempat yang sejuk.,6
194,Kemasan,Pack @ 120 Pcs,7
194,Manufaktur,Taruna kusuma Purinusa,8
194,No. Registrasi,Kemenkes RI: PKD10106810039,9
195,Product Description,"Bio Oil merupakan produk perawatan kulit yang diformukasikan untuk membantu menyamarkan bekas luka, stretch marks dan warna kulit yang tidak merata. BIO OIL mengandung PurCellin Oil yang efektif untuk penuaan kulit dan kulit kering.",1
195,Indikasi Umum,"Perawatan kulit untuk bekas luka, peregangan kulit, warna kulit yang tidak merata, penuaan kulit, kulit kering.",2
195,Komposisi,"Water,Sodium Laureth Sulfate,Sodium Lauryl Sulfate,Sodium Chloride,Dimethicone,Glycol Distearate,Cocamidopropyl Betaine,Sodium Citrate,Cocamide MEA,Sodium Xylenesulfate,Fragarance,Citric Acid,Sodium,Sodium Benzoate,Tetrasodium EDTA,Ammonium Laureth Sulfat.",3
195,Dosis,"Oleskan 2 kali sehari selama minimal 3 bulan, selama ke hamilan oleskan 2 kali sehari mulai dari awal tri semester ke dua.",4
195,Aturan Pakai,Oleskan pada kulit.,5
195,Perhatian,"Hanya untuk penggunaan luar, jangan digunakan pada kulit yang luka, jika terjadi iritasi pada kulit hentikan pemakaiannya.",6
195,Kemasan,Botol @ 25 ml,7
195,Manufaktur,Radiant Sentral Nutrindo,8
195,No. Registrasi,BPOM: ND53180105000,9
196,Product Description,"Breast Pads Mama Pad Flower Shape merupakan produk bantalan payudara yang digunakan untuk penyerap ASI yang cocok digunakan untuk kenyamanan ibu menyusui, sehingga ASI tidak membasahi pakaian maupun permukaan payudara.",1
196,Indikasi Umum,Penyerap ASI untuk ibu menyusui.,2
196,Aturan Pakai,"Buka kemasan, lepas bagian perekatnya, pasang breast pad setelah memakai bra dengan posisi perekat di atas dan di bawah.",3
196,Perhatian,Ganti setiap 2-3 jam sekali.,4
196,Kemasan,Pack Isi 24 Pads,5
196,Manufaktur,Dacco,6
196,No. Registrasi,Kemenkes RI: PKD10404810649,7
197,Product Description,"Magic Power Hitam merupakan tissue herbal antiseptik yang dapat digunakan untuk membersihkan, mencegah bakteri, meningkatkan kekuatan dalam berhubungan, serta mencegah ejakulasi dini.",1
197,Indikasi Umum,"Membersihkan, mencegah bakteri, meningkatkan kekuatan dalam berhubungan, serta mencegah ejakulasi dini.",2
197,Aturan Pakai,"Usapkan tissue magic power pada alat vital anda dengan rata, diamkan selama 3-5 menit. Sebelum berhubungan cuci alat vital dengan sabun dan bilas dengan air hangat.",3
197,Kemasan,Box @ 6 Lembar,4
197,Manufaktur,Dua Lima Industries,5
197,No. Registrasi,Kemenkes RI : PKD 20501800032,6
198,Product Description,"White-Neng Cream adalah krim yang diperkaya dengan Alpha-Arbutin, Vitamin C, Ekstrak Mulberry, Ekstrak Licorice dan Niacinamide (Vitamin B3) yang dapat membantu mengurangi kekusaman, membantu menyamarkan noda-noda hitam dan mencerahan kulit, serta Ekstrak Aloe Vera yang dapat membantu melembabkan kulit.",1
198,Indikasi Umum,"Membantu mengurangi kekusaman, membantu menyamarkan noda-noda hitam, mencerahkan kulit, serta dapat membantu melembabkan kulit.",2
198,Komposisi,"Alpha-Arbutin, Vitamin C, Ekstrak Mulberry, Ekstrak Licorice, Niacinamide (Vitamin B3).",3
198,Dosis,"Oleskan pada permukaan kulit terutama pada bintik-bintik hitam atau noda hitam, dua kali sehari pada pagi dan malam hari setelah kulit dibersihkan dengan krim/lotion pembersih. Hindari daerah sekitar mata. Pijat secara lembut sampai krim terserap sepenuhnya ke dalam kulit. Tunggu selama 10 menit sebelum menggunakan kosmetik. Pada waktu siang hari gunakan krim tabir surya pada wajah terlebih dahulu untuk mendapatkan hasil yang optimal.",4
198,Aturan Pakai,Oleskan secara merata dan tipis-tipis.,5
198,Kemasan,Tube @ 10 Gram,6
198,Manufaktur,Medikon Prima,7
198,No. Registrasi,BPOM: NA18191906325,8
199,Product Description,"Deskripsi Pure Baby Liquid Cleanser Adalah Cairan Pembersih Yang Aman Dan Efektif Membersihkan Secara Maksimal Perlengkapan Bayi Seperti : Botol Susu, Dot, Perlengkapan Makan Dan Mainan Bayi.  Mencuci Tanpa Merusak Plastik, Menggunakan Bahan-Bahan Yang Aman Untuk Bayi, Mudah Dibilas, Membantu Menetralkan Bau Tidak Sedap Dan Menghilangkan Sisa-Sisa Susu Maupun Lemak Yang Terdapat Dalam Botol Susu Juga Perlengkapan Makan.   Dapat Digunakan Untuk Mencuci Buah Dan Sayuran Agar Tampak Lebih Segar Dan Bebas Dari Prestisida Juga Lembut Di Tangan.   Keunggulan Produk Pure Baby Liquid Cleanser : 1. Food Grade Formula 2. Safe For Babies 3. Anti Bacterial With Natural-Based Ingredients 4. Microbiology Tested5. Tanpa Sls / Sodium Lauryl Sulfate Penyebab  5. Gangguan Sistem Imune Khususnya Yang Berhubungan Denga Kulit. 6. Dapat Membunuh Kuman, Bakteri Dan Jamur.",1
200,Product Description,"Acnol Lotion mengandung zat aktif Allantoin, camphor, sulphur, m-dihydroxybenzene, trichlorohydroxydiphenylether. Obat ini digunakan untuk mengurangi minyak yang berlebih, serta membantu melawan bakteri penyebab jerawat.",1
200,Indikasi Umum,Anti acne.,2
200,Komposisi,"Allantoin 0.20%, camphor 0.50%, sulphur 8%, m-dihydroxybenzene 2%, trichlorohydroxydiphenylether 0.10%.",3
200,Dosis,Sesuai kebutuhan.,4
200,Aturan Pakai,Oleskan pada kulit yang berjerawat.,5
200,Perhatian,Hanya untuk pemakaian luar.,6
200,Kontra Indikasi,Hipersensitif.,7
200,Efek Samping,Reaksi alergi.,8
200,Kemasan,Botol @ 10 ml,9
200,Manufaktur,John Francis Laboratories,10
200,No. Registrasi,BPOM: NA18180105389,11
